label,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_overall_mean,mfcc_overall_std,mfcc_overall_min,mfcc_overall_max
J,-310.64288,25.897308,48.912315,42.261013,-41.24179,-21.980879,-8.083428,-1.0487233,-19.20949,-2.2211716,-5.1357226,-3.9738488,0.25096613,-22.785875,93.41509,-517.4251,107.117615
G,-259.10864,36.773304,37.523163,35.844486,-50.032555,1.337485,-8.799534,-6.5960407,-16.893082,6.216146,11.245064,-5.8761516,-6.8103566,-17.321285,77.44565,-458.08875,93.69267
C,-263.68826,15.824356,59.642,31.140213,-38.68731,-12.796347,-14.568169,-3.615353,-24.254913,0.6740993,0.36090517,-5.2149005,-9.585073,-20.366827,77.69616,-408.61328,88.30084
D,-270.10266,44.69165,52.375713,42.545834,-28.65344,-3.3362157,-6.841173,-20.90559,-25.668123,6.22051,-23.410578,-2.3211544,0.3045105,-18.084671,79.83766,-387.05582,84.01425
J,-254.44469,36.29859,31.772892,32.389,-54.169613,15.335527,-20.400291,-11.854321,-23.78228,16.764902,-2.185193,-7.8759027,-2.9913092,-18.857128,77.518654,-462.1395,74.98599
A,-227.14249,42.67171,24.99393,23.556143,-67.47998,5.4824977,-18.575977,1.7222959,-18.990437,21.74023,-12.454876,-11.599502,-9.098323,-18.859598,73.42189,-530.0816,69.63382
F,-289.45734,37.44317,17.886786,12.169534,15.054014,12.679876,-15.297168,7.4544034,17.61612,7.165064,-10.869665,7.711514,2.8312354,-13.662496,82.063675,-387.28006,65.73227
I,-487.7711,100.90434,10.941523,16.018785,2.0748913,18.960545,-0.20428777,1.4417075,2.1285725,2.9248664,-7.9321003,2.5458107,-5.2842674,-26.403898,141.34702,-729.5177,136.04083
D,-404.11557,66.738464,22.139149,27.700615,-0.013706313,8.624925,-4.4957943,-3.693275,-7.7819924,-6.3553724,-4.573591,-0.6581917,-1.8477707,-23.717855,120.2559,-646.3484,122.10186
G,-397.78647,22.22081,18.401628,39.380756,-37.70307,-4.7624445,-19.44337,3.1348279,-21.236523,-6.3158884,2.757361,-4.2224073,-1.6824934,-31.32748,118.27227,-617.5847,89.25597
A,-232.1084,74.01642,-57.43068,29.688925,-48.459385,-18.179731,-18.485113,18.83038,-24.569603,-3.0760775,-23.071587,0.014098591,-18.482979,-24.71644,81.069084,-607.70026,140.55838
G,-466.46143,37.681473,27.96441,23.450542,-22.049604,-0.49561906,-4.1289153,-8.731811,-5.2580733,-0.09059969,1.7343477,0.4459079,-2.1741464,-32.16258,134.35397,-621.446,95.27907
A,-286.23813,85.60684,-3.7183533,41.865524,-24.244215,-31.50331,-32.794983,4.390225,-35.942608,3.3573267,6.327614,-7.1050305,-0.037571408,-21.541285,84.91229,-443.26157,114.91344
B,-420.9941,106.132904,-4.6973677,25.779558,-8.064528,2.6483772,-1.1951215,-9.362241,-4.602489,-11.742708,-3.065459,-4.266041,-3.3529062,-25.906315,124.08348,-707.302,148.62256
I,-487.7711,100.90434,10.941523,16.018785,2.0748913,18.960545,-0.20428777,1.4417075,2.1285725,2.9248664,-7.9321003,2.5458107,-5.2842674,-26.403898,141.34702,-729.5177,136.04083
C,-295.4289,27.514032,59.751366,41.825615,-50.233444,-2.8151836,-25.55407,-7.436039,-24.67074,1.4901433,-4.874622,-4.9274516,-14.787945,-23.088247,87.5138,-467.7933,86.681946
A,-496.92484,53.377422,15.11345,38.270027,-0.49320844,-2.1983094,-4.939903,2.3848083,-2.6838827,-0.19275413,1.6890697,-1.3924325,-3.9234488,-30.916464,144.4174,-701.17096,107.23724
E,-329.19946,26.050888,72.82257,43.677322,-28.965572,2.7504282,-10.9816475,-8.6511,-5.2831154,-5.9897766,-10.949048,-3.6506376,-8.806316,-20.551958,96.96749,-483.13455,96.80531
E,-244.3239,41.843616,33.231804,42.2951,-49.013523,12.638069,-27.25405,-15.72997,-9.156728,-6.9081583,-15.917423,1.3079702,-11.436663,-19.109528,74.78283,-425.7626,71.90173
G,-374.55908,101.40551,43.110603,67.06505,-20.603401,-3.408099,1.9952174,-12.180702,-17.384789,3.744382,-5.9360943,-25.141273,-7.288792,-19.167807,112.31528,-541.7159,156.21942
G,-397.78647,22.22081,18.401628,39.380756,-37.70307,-4.7624445,-19.44337,3.1348279,-21.236523,-6.3158884,2.757361,-4.2224073,-1.6824934,-31.32748,118.27227,-617.5847,89.25597
H,-344.43997,5.1731257,54.732906,16.146805,-23.73847,-21.082605,-0.23877223,10.476972,-18.640392,0.6164173,-1.357106,4.965771,-1.9659406,-24.56548,100.02684,-514.61554,84.26474
I,-185.62099,26.796427,-24.996134,6.689721,-59.088787,-11.124499,-12.906416,-11.71888,0.72199655,-2.5944445,-19.407259,-0.37084082,-22.09288,-24.285614,63.7183,-439.7036,132.60571
F,-432.92694,52.339493,-22.947958,21.797873,13.274624,-7.6561856,-6.2649255,13.621426,-8.596264,3.8318255,3.6662319,-1.8698367,-0.2988967,-28.617651,129.49977,-702.79004,95.82123
A,-431.6099,45.06238,17.359123,15.224048,-15.395354,3.2826667,8.410781,9.666121,0.5838519,8.850575,1.5666993,-4.3058405,-2.934098,-26.479921,128.40842,-641.70374,115.05011
G,-459.09555,38.134136,30.63472,19.306168,-2.438055,2.0454323,1.9832885,-7.727474,-4.763836,0.27805588,-5.759067,-3.34442,0.5070452,-30.018429,132.94632,-621.53925,122.55113
B,-311.94418,98.42985,0.4669447,43.580574,-32.59788,-37.017048,-36.64103,2.4718616,-38.398438,6.4888268,4.5918617,-3.6989694,-0.25577012,-23.424877,95.12007,-536.3354,139.8906
A,-256.86545,55.021034,22.243149,32.58,-54.456665,-2.8042362,7.643612,2.574136,-8.382322,10.956587,-5.1930647,-9.62274,-15.979315,-17.098867,76.69914,-474.7906,73.72958
J,-337.83615,11.738369,62.840015,36.55856,-21.726421,2.223352,-9.543031,-10.055515,-10.596628,-8.006913,-9.712976,-5.60128,-11.9057665,-23.971106,97.66163,-521.4477,114.0715
J,-482.06476,44.16881,28.877771,29.49347,-3.5030792,5.648934,4.32066,-4.43124,-7.8690977,1.616072,-6.16929,-3.039357,-0.6249088,-30.275084,138.13805,-648.9269,149.9579
C,-245.72897,21.147984,18.908058,58.51196,-85.23453,-6.956033,-27.008299,-25.361103,-15.009561,2.565916,-4.3914237,-9.701586,6.2345076,-24.001776,81.90661,-488.56952,103.0132
H,-231.84503,25.662905,12.741637,32.944447,-47.200397,-14.173614,-20.24866,20.022036,-13.617711,3.2719204,-7.8511014,-0.5843197,-13.664062,-19.580149,78.12339,-511.706,65.63765
C,-403.62448,36.359737,74.56111,70.510025,-6.575959,-11.380803,1.6237259,-23.41977,-33.08803,-0.7673868,-6.523678,-12.229367,-2.1456585,-24.361578,117.68364,-475.8914,126.89348
J,-384.13153,44.011204,26.46457,24.61345,-18.012827,7.2286263,-7.59866,-1.6924074,-4.166652,3.7029011,-4.9908724,-0.016143411,-7.595102,-24.783346,114.59914,-592.0996,146.6068
G,-363.75497,98.45911,32.014664,71.23574,-23.025702,-7.055866,12.419431,-22.780535,-16.234509,1.972911,-15.625758,-17.55472,-11.769023,-20.13071,109.74038,-547.6572,170.97336
J,-483.531,44.801174,28.54964,27.109552,-3.6762075,0.15250824,3.3165607,-5.5731187,-3.7717438,1.9479859,-0.9274415,-0.31953436,-1.4521657,-30.25952,138.01385,-605.8972,93.48421
D,-545.2663,56.28185,31.161526,27.137535,4.498206,1.4033544,4.090208,-7.5717344,-5.900298,1.4391321,-1.6801481,-0.5330782,-1.3830562,-33.563297,154.22943,-681.3959,121.979454
B,-311.94418,98.42985,0.4669447,43.580574,-32.59788,-37.017048,-36.64103,2.4718616,-38.398438,6.4888268,4.5918617,-3.6989694,-0.25577012,-23.424877,95.12007,-536.3354,139.8906
E,-202.79437,68.98234,-42.89812,5.4084067,-54.660934,-15.837674,-21.289259,6.598674,-19.779154,-4.611844,-8.91565,-11.614951,-14.314757,-24.286715,74.31056,-540.5808,130.46071
I,-489.49066,43.39733,3.2659416,-5.9494667,-0.5222834,20.089418,4.058554,2.3496425,7.8480167,2.0113828,-1.0661777,0.49010733,-1.0931057,-31.893179,142.198,-664.77515,87.3385
F,-511.21664,55.563797,13.915721,7.3802867,6.287748,7.815015,-7.9358387,4.9221263,2.4781141,2.4229233,-6.0984845,6.33152,-0.71107507,-32.218834,145.50732,-703.6128,103.52292
F,-422.47623,71.14754,-9.121593,14.400043,5.0918617,14.072055,4.853757,4.039927,3.7373257,-2.3757248,-11.324676,6.9892015,0.012737608,-24.688751,124.85404,-690.39484,114.63718
B,-390.9172,115.93677,36.89576,72.87895,-34.422333,-5.790537,-1.1713502,-21.589172,-20.173435,3.4499953,-6.674421,-26.469076,-8.32326,-22.02841,117.85837,-576.20276,174.56146
I,-468.9458,91.84033,-12.016487,18.12731,2.664082,9.247759,2.6443882,0.644,-3.5986574,11.672064,-0.4952232,5.971259,-4.452575,-26.669043,138.75725,-695.2026,143.659
H,-492.1904,48.467857,30.724089,7.6366305,3.072466,9.5269985,0.27496302,5.100252,1.7641097,4.556383,-3.2179446,5.0485377,1.1153842,-29.086205,143.84673,-756.20044,107.370346
F,-235.85846,32.61805,-3.7774494,-4.256888,-4.453753,-4.732376,7.5946817,25.024933,-18.68239,7.3046927,2.7712102,5.061791,4.9364796,-14.342264,65.85385,-303.47437,45.69851
F,-422.47623,71.14754,-9.121593,14.400043,5.0918617,14.072055,4.853757,4.039927,3.7373257,-2.3757248,-11.324676,6.9892015,0.012737608,-24.688751,124.85404,-690.39484,114.63718
I,-253.16614,72.37333,14.111307,-21.125612,-17.20322,19.115368,-24.969522,2.082001,-23.215687,4.3794613,-14.466669,-12.454641,7.0669007,-19.036394,78.77806,-452.9372,129.49402
D,-376.93924,110.28543,-27.557482,-20.65958,-52.538197,-17.210558,-9.521467,15.767184,0.100494385,1.6431793,-22.555569,-16.053383,-22.00056,-33.633823,107.26168,-439.1455,133.06259
B,-428.54932,46.892303,35.32507,18.499643,-6.7222943,9.35848,0.41369975,0.8004278,1.9731473,5.9429765,-1.2119598,4.53354,-1.114301,-24.142965,126.0536,-583.86914,100.737526
F,-263.08234,51.604935,5.0167255,48.36303,-80.62886,-14.373895,-17.639936,-24.47689,-16.916613,-13.124908,0.51129305,-13.348168,-0.43289173,-26.040655,82.54531,-526.07526,105.71413
F,-132.72531,39.05637,-85.4186,-17.603134,-41.596878,-15.873721,6.058949,5.4099483,-21.296242,-18.35891,-8.974528,6.8531857,-19.08849,-23.350563,56.33193,-301.06952,77.60817
B,-422.02307,60.40104,20.674292,38.350353,-7.3091965,8.967355,-1.4963564,-7.9192758,-6.3164124,1.2930366,7.554756,0.71414495,4.65596,-23.265646,124.58124,-616.7218,130.35072
J,-410.7887,61.865627,3.2605975,33.308266,-11.474069,0.3554624,7.9131274,-7.5040884,-3.4956858,1.7741408,-2.325415,-0.9616744,-5.495151,-25.65904,124.24963,-637.7995,123.75081
J,-483.531,44.801174,28.54964,27.109552,-3.6762075,0.15250824,3.3165607,-5.5731187,-3.7717438,1.9479859,-0.9274415,-0.31953436,-1.4521657,-30.25952,138.01385,-605.8972,93.48421
A,-165.30537,26.529497,-21.102798,36.978447,-52.847317,-27.805988,-26.69297,9.060622,-15.649827,-0.5123492,3.3229911,-7.5752807,-14.486679,-19.699001,55.985245,-355.97754,57.17733
A,-195.34511,29.071507,-14.958915,36.27093,-61.381485,-30.846092,-12.936769,2.3214111,-10.837709,14.092794,-9.501705,-5.901443,-15.535468,-21.19139,65.82102,-438.16434,56.072388
D,-365.9608,96.88279,35.827522,75.11278,-38.153873,-15.082087,14.915415,-26.236887,-21.010532,11.729291,-16.883846,-17.848673,-11.349515,-21.389105,109.456955,-520.4573,163.6499
A,-441.6301,57.232742,-4.3803263,21.35547,-4.274902,5.0900006,1.783461,8.720126,-0.71975744,-4.2163835,8.178437,-1.5155166,-2.3298814,-27.438972,129.0229,-760.945,81.39398
J,-410.7887,61.865627,3.2605975,33.308266,-11.474069,0.3554624,7.9131274,-7.5040884,-3.4956858,1.7741408,-2.325415,-0.9616744,-5.495151,-25.65904,124.24963,-637.7995,123.75081
J,-264.69965,17.906536,64.55686,37.087933,-42.945232,-2.2622795,-6.6475534,-23.107546,-19.127056,12.85318,-18.14438,-3.8270545,-9.099619,-19.804293,78.69204,-403.88098,82.28255
H,-228.83243,74.43108,-39.084923,7.22509,-53.35638,-17.380728,-10.375709,-1.4667072,-18.320333,-9.079624,2.1001034,-8.266397,-13.805866,-24.324064,80.92402,-507.4068,149.48691
H,-453.56424,25.235458,19.671955,8.183047,4.28241,7.5367346,1.1311617,6.3097615,0.9319411,-2.0106478,4.3318553,-4.4012523,-2.0522585,-29.570316,134.03056,-669.148,92.15019
E,-362.27246,64.9539,38.098743,61.609146,-45.361984,-31.316103,-13.292454,-10.969955,-54.854504,0.9616194,-3.3071926,-18.862574,3.1250935,-28.57606,106.69522,-603.00024,108.40106
A,-538.49,64.43185,18.665504,25.848253,-1.9110003,1.6773015,2.3057613,0.09177399,-5.2353816,7.0266213,1.2042108,5.2567215,1.205889,-32.147884,153.16713,-691.72394,100.534004
A,-240.72772,62.94844,32.898132,46.335888,-59.90904,5.2204905,-5.390349,-9.995121,-18.283073,14.801158,-0.3522007,-1.1819439,-6.170709,-13.831234,75.51245,-408.96725,118.90852
D,-241.57709,33.794983,23.091574,29.623497,-44.35817,10.962555,-25.675007,-5.5109653,-11.876864,-13.841887,-17.004478,-0.002036651,-20.603891,-21.76752,71.69456,-399.39328,74.093704
D,-306.71317,50.879982,51.79677,69.00534,-54.8177,7.513988,-11.109878,-20.446045,-26.566877,7.9091496,-15.774887,-4.4817405,6.5911045,-18.939535,92.097694,-490.44977,109.10451
