label,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_overall_mean,mfcc_overall_std,mfcc_overall_min,mfcc_overall_max
A,-315.95262299747094,-4.643901486324401,-39.892517248921294,-19.320222123359482,-36.54020803766657,-19.87934663579756,-25.1267687233328,-14.983666746927016,-10.282749964789017,-0.6587615372059437,4.219741528491678,10.525331867104795,12.22789529044491,-35.40829206275028,84.63285326893372,-421.8241845901129,16.180473825976826
A,-228.51128460454464,-3.099343562541127,-52.214152650811315,-13.063567276540644,-23.137270931174335,-11.084580270517518,-12.27720788426733,-5.019066184791049,-5.18191727477229,-2.285687722947126,-1.315052023425198,-1.5743156323654677,-1.1116367638707998,-27.682698675582223,62.35340788339292,-328.6153997907375,6.4235911864039235
A,-331.7225786871753,-14.153089823939668,-45.23379440308118,-58.67371813774138,-30.475355421127123,-4.85948366209116,1.8476083605211118,-2.041445472302295,-7.30020170358254,-6.353623361707419,-12.360811782379187,-12.462392652311953,-14.45285615638955,-41.40321099256212,86.00260286364866,-418.3375637830702,9.763651885106773
A,-369.6347313427234,-47.6726926077101,-65.89366522690638,1.2562107870174397,15.802034657607182,-29.20528657748193,-28.222138924623593,-12.069220966306895,2.1241670091657565,-4.6167471499459936,-12.226095757888343,-15.496996358674986,-2.1779380882222346,-43.69485388820719,96.9674911805288,-452.67817378604167,30.939690777589888
A,-381.68225367408144,-49.01465448038352,-60.802197323705634,3.3941179494137677,25.66235126796179,-22.756197281482955,-42.43208298565612,-0.5177764488496831,-7.693255585224626,-6.958883033191232,-20.72277332959576,-17.863734080962068,-4.647053204522776,-45.079568631560015,100.33774089811777,-489.1440265085978,39.468873608129556
A,-292.9588537234052,-55.16297024951137,-49.200505215158614,7.397704732890142,-12.663029581381627,-27.617068212911377,-19.03050331471686,-5.043475824520697,-8.447659689379934,-13.37343842252817,-10.790372755933515,-2.7384414222819475,-0.7595614271636576,-37.72216731584637,76.25717112181098,-362.90486417061874,28.02089109357381
A,-169.3143185811294,-0.5728268843719821,-26.282212630537963,-2.335583555854994,-18.13484278361187,-0.5270966743080061,-6.6412182895369645,0.056259786802311904,-1.46968214044888,2.421234805632999,0.16975724686600485,2.475528438198642,0.6677423326129777,-16.883635302283626,45.92802434211396,-273.79618341865245,6.1572724265983485
A,-260.62646006117996,-42.70925609688261,-51.54211509728297,-7.427370541493241,-8.259645903061344,-22.202954723425343,-22.02827954748919,-18.255907801068282,-12.108414271914427,-8.986991261065684,-12.471733434668778,-12.945241718175014,-8.436617896306574,-37.53853756569333,66.53411460312158,-356.9399222654383,4.400017525365259
A,-149.34661188503497,-0.8735787792186124,-24.473762289060993,-2.8388513089132728,-11.219057191657727,-1.9264432570017638,-5.216270457892989,-1.8130984858678636,-3.5677435905578867,-2.4196614730689134,-3.040355286214606,-2.8307104225643585,-2.2813160343458567,-16.295958497030753,40.027271827612054,-249.44819796389754,13.645201243414181
A,-260.62646006117996,-42.70925609688261,-51.54211509728297,-7.427370541493241,-8.259645903061344,-22.202954723425343,-22.02827954748919,-18.255907801068282,-12.108414271914427,-8.986991261065684,-12.471733434668778,-12.945241718175014,-8.436617896306574,-37.53853756569333,66.53411460312158,-356.9399222654383,4.400017525365259
A,-369.6347313427234,-47.6726926077101,-65.89366522690638,1.2562107870174397,15.802034657607182,-29.20528657748193,-28.222138924623593,-12.069220966306895,2.1241670091657565,-4.6167471499459936,-12.226095757888343,-15.496996358674986,-2.1779380882222346,-43.69485388820719,96.9674911805288,-452.67817378604167,30.939690777589888
A,-253.65767567521476,-50.16860413138969,-50.12418190020963,-10.78024656390865,-14.02156995708852,-0.6629219377699312,-19.038726399877994,-17.329951243500844,-13.129843985116029,-8.086239132632027,-3.042808631165443,-6.474635379002875,-8.311490652520554,-34.986838122261304,66.36489577290455,-359.24916226114163,4.441341915703185
A,-175.65466157762634,-3.287186003653054,-34.64353771537142,0.8773395175164311,-19.600867695151813,1.14589768615317,-4.414859824679775,-0.744814215130482,2.874974326795656,0.31371744114118333,4.689873896252015,1.7088590155364722,4.290698799453575,-17.111120488366492,48.05932276113533,-281.27005220736754,9.1315904422969
